RLC1 EMBEDDED CONSTANTS AUDIT — score_claim=false
Scope: every numeric literal in the six changed receiver source files (all lines, including inherited portions). Archive bytes are counted, not code.
Content-selected config is exactly19 bytes: class=1; low=128; high=320; history=16; priorDen=4; minCount=4; residualMax=36; slopeMax=2; widthDen=2; widthMultiplier=3; spanMax=24; bins=0,1,2,4,8,16. It is loaded from RLC1 rider bytes45..63. Forty signed fitted weights occupy bytes5..44; version is byte4. Native sees parsed config only. No TC4 class/map selectors are present in this candidate.
A source literal can equal a selected value without supplying it: e.g.255 is uint8 bound;2 is proven slope-domain ceiling, while the actual slope comes from cfg[7]. Those constants enforce arithmetic safety and cannot reconstruct a selected geometry choice.
New generic arithmetic predeclared before pricing: public shape384x512/K5; HPAC64-cell slots and190 groups; six moment coordinates; Q16=65536; integer root's2-bit shifts, nearest-even half/unit, int64/int128 bounds; binary packing offsets and format/version tags. C cfg indices0..16 label serialized fields, never values.
Inherited literals: exact same source line occurs in move40's same relative file. Their provenance is the immutable move40 format/receiver, with its compliance adjudication by MAIN; no claim of freshly auditing all inherited mechanisms. Inherited mixer lines map to tc3 adaptive receiver algorithm (KT half-count smoothing, ratio clip1/16..16, fixed-log arithmetic, weights/state dimensions); its fitted weights stay counted.
Pins in inflate.py are non-reconstructive archive identity metadata. Proof BLAS1/4 and advisory mode are environmental test controls; normal runtime remains CUDA/T4-declared.
No scorer, GT, source-video, absolute external imports, learned table or per-frame content is added to receiver code. All data-derived scalars are in archive.zip.

LITERAL CENSUS
inflate.py:19 literal=180173 | GENERIC archive integrity pin or explicit proof/device/thread control | ARCHIVE_BYTES = 180173
experiments/ddm_rlc1_geometry.c:108 literal=3 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if(y>=g->cfg[3]) sums[j]-=g->cfg[4]*g->now[j][y-g->cfg[3]][s]+g->old[j][y-g->cfg[3]][s];
experiments/ddm_rlc1_geometry.c:108 literal=3 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if(y>=g->cfg[3]) sums[j]-=g->cfg[4]*g->now[j][y-g->cfg[3]][s]+g->old[j][y-g->cfg[3]][s];
experiments/ddm_rlc1_geometry.c:108 literal=4 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if(y>=g->cfg[3]) sums[j]-=g->cfg[4]*g->now[j][y-g->cfg[3]][s]+g->old[j][y-g->cfg[3]][s];
experiments/ddm_rlc1_geometry.c:111 literal=3 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if(y>=g->cfg[3]) badsum-=bad[y-g->cfg[3]];
experiments/ddm_rlc1_geometry.c:111 literal=3 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if(y>=g->cfg[3]) badsum-=bad[y-g->cfg[3]];
experiments/ddm_rlc1_geometry.c:114 literal=0 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | for(int i=0;i<n;i++) {
experiments/ddm_rlc1_geometry.c:116 literal=8 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | out[i]=8;
experiments/ddm_rlc1_geometry.c:117 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if(y<g->cfg[1] || y>=g->cfg[2]) continue;
experiments/ddm_rlc1_geometry.c:117 literal=2 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if(y<g->cfg[1] || y>=g->cfg[2]) continue;
experiments/ddm_rlc1_geometry.c:119 literal=0 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | for(int s=0;s<S;s++) if(valid[y][s]) {
experiments/ddm_rlc1_geometry.c:122 literal=0 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if(a<0) a=-a;
experiments/ddm_rlc1_geometry.c:123 literal=0 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if(b<0) b=-b;
experiments/ddm_rlc1_geometry.c:127 literal=7 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if(best==INT64_MAX) out[i]=7;
experiments/ddm_rlc1_geometry.c:128 literal=0 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | else { int j=0; while(j<6 && best>g->cfg[11+j]) j++; out[i]=(uint8_t)j; }
experiments/ddm_rlc1_geometry.c:128 literal=11 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | else { int j=0; while(j<6 && best>g->cfg[11+j]) j++; out[i]=(uint8_t)j; }
experiments/ddm_rlc1_geometry.c:128 literal=6 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | else { int j=0; while(j<6 && best>g->cfg[11+j]) j++; out[i]=(uint8_t)j; }
experiments/ddm_rlc1_geometry.py:17 literal=384 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | H, W, K = 384, 512, 5
experiments/ddm_rlc1_geometry.py:17 literal=5 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | H, W, K = 384, 512, 5
experiments/ddm_rlc1_geometry.py:17 literal=512 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | H, W, K = 384, 512, 5
experiments/ddm_rlc1_geometry.py:19 literal=2 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | GROUP = X % 64 + 2 * (Y % 64)
experiments/ddm_rlc1_geometry.py:19 literal=64 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | GROUP = X % 64 + 2 * (Y % 64)
experiments/ddm_rlc1_geometry.py:19 literal=64 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | GROUP = X % 64 + 2 * (Y % 64)
experiments/ddm_rlc1_geometry.py:20 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | POSITIONS = tuple(np.flatnonzero(GROUP.reshape(-1) == g) for g in range(190))
experiments/ddm_rlc1_geometry.py:20 literal=190 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | POSITIONS = tuple(np.flatnonzero(GROUP.reshape(-1) == g) for g in range(190))
experiments/ddm_rlc1_geometry.py:28 literal=0 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if not (v[0] < K and 0 <= v[1] < v[2] <= H):
experiments/ddm_rlc1_geometry.py:28 literal=0 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if not (v[0] < K and 0 <= v[1] < v[2] <= H):
experiments/ddm_rlc1_geometry.py:28 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if not (v[0] < K and 0 <= v[1] < v[2] <= H):
experiments/ddm_rlc1_geometry.py:28 literal=2 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if not (v[0] < K and 0 <= v[1] < v[2] <= H):
experiments/ddm_rlc1_geometry.py:32 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | 1 <= v[3] <= 16
experiments/ddm_rlc1_geometry.py:32 literal=16 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | 1 <= v[3] <= 16
experiments/ddm_rlc1_geometry.py:32 literal=3 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | 1 <= v[3] <= 16
experiments/ddm_rlc1_geometry.py:33 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | and 1 <= v[4] <= 4
experiments/ddm_rlc1_geometry.py:33 literal=4 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | and 1 <= v[4] <= 4
experiments/ddm_rlc1_geometry.py:33 literal=4 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | and 1 <= v[4] <= 4
experiments/ddm_rlc1_geometry.py:34 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | and 1 <= v[5] <= 255
experiments/ddm_rlc1_geometry.py:34 literal=255 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | and 1 <= v[5] <= 255
experiments/ddm_rlc1_geometry.py:34 literal=5 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | and 1 <= v[5] <= 255
experiments/ddm_rlc1_geometry.py:35 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | and 1 <= v[6] <= 255
experiments/ddm_rlc1_geometry.py:35 literal=255 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | and 1 <= v[6] <= 255
experiments/ddm_rlc1_geometry.py:35 literal=6 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | and 1 <= v[6] <= 255
experiments/ddm_rlc1_geometry.py:36 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | and 1 <= v[7] <= 2
experiments/ddm_rlc1_geometry.py:36 literal=2 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | and 1 <= v[7] <= 2
experiments/ddm_rlc1_geometry.py:36 literal=7 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | and 1 <= v[7] <= 2
experiments/ddm_rlc1_geometry.py:37 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | and 1 <= v[8] <= 255
experiments/ddm_rlc1_geometry.py:37 literal=255 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | and 1 <= v[8] <= 255
experiments/ddm_rlc1_geometry.py:37 literal=8 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | and 1 <= v[8] <= 255
experiments/ddm_rlc1_geometry.py:38 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | and 1 <= v[9] <= 255
experiments/ddm_rlc1_geometry.py:38 literal=255 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | and 1 <= v[9] <= 255
experiments/ddm_rlc1_geometry.py:38 literal=9 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | and 1 <= v[9] <= 255
experiments/ddm_rlc1_geometry.py:39 literal=10 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | and v[10] < 64
experiments/ddm_rlc1_geometry.py:39 literal=64 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | and v[10] < 64
experiments/ddm_rlc1_geometry.py:42 literal=11 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if any(a >= b for a, b in itertools.pairwise(v[11:])):
experiments/ddm_rlc1_geometry.py:57 literal=0 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | or np.any(previous < 0)
experiments/ddm_rlc1_geometry.py:78 literal=0 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | self.group = 0
experiments/ddm_rlc1_geometry.py:112 literal=0 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | or np.any(symbols < 0)
experiments/ddm_rlc1_geometry.py:118 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | self.plane.reshape(-1)[positions] = symbols
experiments/ddm_rlc1_geometry.py:119 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | self.group += 1
experiments/ddm_rlc1_mixer.py:15 literal=384 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | K, H, W, BINS = 5, 384, 512, 9
experiments/ddm_rlc1_mixer.py:15 literal=5 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | K, H, W, BINS = 5, 384, 512, 9
experiments/ddm_rlc1_mixer.py:15 literal=512 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | K, H, W, BINS = 5, 384, 512, 9
experiments/ddm_rlc1_mixer.py:15 literal=9 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | K, H, W, BINS = 5, 384, 512, 9
experiments/ddm_rlc1_mixer.py:21 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | length = 1 + 40 + FORMAT.size
experiments/ddm_rlc1_mixer.py:21 literal=40 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | length = 1 + 40 + FORMAT.size
experiments/ddm_rlc1_mixer.py:22 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if len(payload) <= 4 + length or payload[:4] != MAGIC or payload[4] not in (1, 17):
experiments/ddm_rlc1_mixer.py:22 literal=17 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if len(payload) <= 4 + length or payload[:4] != MAGIC or payload[4] not in (1, 17):
experiments/ddm_rlc1_mixer.py:22 literal=4 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if len(payload) <= 4 + length or payload[:4] != MAGIC or payload[4] not in (1, 17):
experiments/ddm_rlc1_mixer.py:22 literal=4 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if len(payload) <= 4 + length or payload[:4] != MAGIC or payload[4] not in (1, 17):
experiments/ddm_rlc1_mixer.py:22 literal=4 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if len(payload) <= 4 + length or payload[:4] != MAGIC or payload[4] not in (1, 17):
experiments/ddm_rlc1_mixer.py:24 literal=15 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | config, stream = bytes([payload[4] & 15]) + payload[5 : 4 + length], payload[4 + length :]
experiments/ddm_rlc1_mixer.py:24 literal=4 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | config, stream = bytes([payload[4] & 15]) + payload[5 : 4 + length], payload[4 + length :]
experiments/ddm_rlc1_mixer.py:24 literal=4 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | config, stream = bytes([payload[4] & 15]) + payload[5 : 4 + length], payload[4 + length :]
experiments/ddm_rlc1_mixer.py:24 literal=4 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | config, stream = bytes([payload[4] & 15]) + payload[5 : 4 + length], payload[4 + length :]
experiments/ddm_rlc1_mixer.py:24 literal=5 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | config, stream = bytes([payload[4] & 15]) + payload[5 : 4 + length], payload[4 + length :]
experiments/ddm_rlc1_mixer.py:25 literal=41 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | parse_config(config[41:])
experiments/ddm_rlc1_mixer.py:26 literal=16 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if payload[4] & 16:
experiments/ddm_rlc1_mixer.py:26 literal=4 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if payload[4] & 16:
experiments/ddm_rlc1_mixer.py:39 literal=0 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if len(config) != 41 + FORMAT.size or config[0] != 1:
experiments/ddm_rlc1_mixer.py:39 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if len(config) != 41 + FORMAT.size or config[0] != 1:
experiments/ddm_rlc1_mixer.py:39 literal=41 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | if len(config) != 41 + FORMAT.size or config[0] != 1:
experiments/ddm_rlc1_mixer.py:42 literal=0 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | self.variant = config[0]
experiments/ddm_rlc1_mixer.py:43 literal=41 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | parse_config(config[41:])
experiments/ddm_rlc1_mixer.py:44 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | raw = np.frombuffer(config[1:41], dtype=np.int8).copy()
experiments/ddm_rlc1_mixer.py:44 literal=41 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | raw = np.frombuffer(config[1:41], dtype=np.int8).copy()
experiments/ddm_rlc1_mixer.py:45 literal=35 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | self.old = base.SharedMixer(raw[:35].tobytes())
experiments/ddm_rlc1_mixer.py:46 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | self.weights = raw[35:].reshape(K, 1)
experiments/ddm_rlc1_mixer.py:46 literal=35 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | self.weights = raw[35:].reshape(K, 1)
experiments/ddm_rlc1_mixer.py:64 literal=0.5 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | ratio = (self.counts + 0.5) / (self.expected.astype(np.float64) / TOTAL + 0.5)
experiments/ddm_rlc1_mixer.py:64 literal=0.5 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | ratio = (self.counts + 0.5) / (self.expected.astype(np.float64) / TOTAL + 0.5)
experiments/ddm_rlc1_mixer.py:65 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | self.table = base.log2_fixed(np.clip(ratio, 1 / 16, 16))
experiments/ddm_rlc1_mixer.py:65 literal=16 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | self.table = base.log2_fixed(np.clip(ratio, 1 / 16, 16))
experiments/ddm_rlc1_mixer.py:65 literal=16 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | self.table = base.log2_fixed(np.clip(ratio, 1 / 16, 16))
experiments/ddm_rlc1_mixer.py:75 literal=41 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | self.geometry = LaneGeometry(previous, self.config[41:])
experiments/ddm_rlc1_mixer.py:78 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | phi = np.empty((len(rows), K, 1), dtype=np.int16)
experiments/ddm_rlc1_mixer.py:80 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | arg = freq.argmax(axis=1)
experiments/ddm_rlc1_mixer.py:82 literal=0 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | extra[bins == 8] = 0
experiments/ddm_rlc1_mixer.py:82 literal=8 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | extra[bins == 8] = 0
experiments/ddm_rlc1_mixer.py:83 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | phi[:, :, -1] = extra
experiments/ddm_rlc1_mixer.py:93 literal=0 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | inactive = np.all(phi[:, :, 0] == 0, axis=1)
experiments/ddm_rlc1_mixer.py:93 literal=0 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | inactive = np.all(phi[:, :, 0] == 0, axis=1)
experiments/ddm_rlc1_mixer.py:93 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | inactive = np.all(phi[:, :, 0] == 0, axis=1)
experiments/ddm_rlc1_mixer.py:106 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | truth = np.asarray(plane, dtype=np.uint8).reshape(-1)
experiments/ddm_rlc1_mixer.py:107 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | np.testing.assert_array_equal(self.geometry.plane.reshape(-1), truth)
experiments/ddm_rlc1_mixer.py:108 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | code = self.base.argmax(axis=1) * BINS + self.bins
experiments/ddm_rlc1_mixer.py:109 literal=1 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | self.counts += np.bincount(code * K + truth, minlength=K * BINS * K).reshape(-1, K)
experiments/ddm_rlc1_mixer.py:130 literal=4 | RECEIVER SOURCE: matches the independently enumerated runtime counterpart after import-root adaptation; see receiver literal census above. | self.old.restore({k[4:]: v for k, v in state.items() if k.startswith("old_")})
experiments/ddm_rlc1_public.py:23 literal=1 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | REPO = Path(__file__).resolve().parents[1]
experiments/ddm_rlc1_public.py:24 literal=0 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | sys.path[:0] = [str(REPO), str(REPO / "src")]
experiments/ddm_rlc1_public.py:43 literal=2 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | tmp.write_text(json.dumps(value, indent=2, sort_keys=True) + "\n")
experiments/ddm_rlc1_public.py:50 literal=10 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | result = subprocess.run(["ps", "-axo", "pid,ppid,%cpu,command"], capture_output=True, text=True, timeout=10)
experiments/ddm_rlc1_public.py:60 literal=2 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | "controlled_arm_worker_limit": 2,
experiments/ddm_rlc1_public.py:69 literal=1024 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | while chunk := left.read(8 * 1024**2):
experiments/ddm_rlc1_public.py:69 literal=2 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | while chunk := left.read(8 * 1024**2):
experiments/ddm_rlc1_public.py:69 literal=8 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | while chunk := left.read(8 * 1024**2):
experiments/ddm_rlc1_public.py:78 literal=1 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | parser.add_argument("--threads", type=int, choices=(1, 4), required=True)
experiments/ddm_rlc1_public.py:78 literal=4 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | parser.add_argument("--threads", type=int, choices=(1, 4), required=True)
experiments/ddm_rlc1_public.py:79 literal=600 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | parser.add_argument("--stop-after", type=int, default=600)
experiments/ddm_rlc1_public.py:81 literal=0 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | if args.resume_from.resolve() != ROOT.resolve() or not 0 < args.stop_after <= 600:
experiments/ddm_rlc1_public.py:81 literal=600 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | if args.resume_from.resolve() != ROOT.resolve() or not 0 < args.stop_after <= 600:
experiments/ddm_rlc1_public.py:93 literal=4 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | "torch_threads": 4,
experiments/ddm_rlc1_public.py:110 literal=1024 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | required = 3662409600 + 192 * 1024**2
experiments/ddm_rlc1_public.py:110 literal=192 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | required = 3662409600 + 192 * 1024**2
experiments/ddm_rlc1_public.py:110 literal=2 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | required = 3662409600 + 192 * 1024**2
experiments/ddm_rlc1_public.py:110 literal=3662409600 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | required = 3662409600 + 192 * 1024**2
experiments/ddm_rlc1_public.py:111 literal=1024 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | if used + required > 8 * 1024**3 or shutil.disk_usage(ROOT).free < required + 16 * 1024**3:
experiments/ddm_rlc1_public.py:111 literal=1024 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | if used + required > 8 * 1024**3 or shutil.disk_usage(ROOT).free < required + 16 * 1024**3:
experiments/ddm_rlc1_public.py:111 literal=16 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | if used + required > 8 * 1024**3 or shutil.disk_usage(ROOT).free < required + 16 * 1024**3:
experiments/ddm_rlc1_public.py:111 literal=3 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | if used + required > 8 * 1024**3 or shutil.disk_usage(ROOT).free < required + 16 * 1024**3:
